Order ID,Order Date,Ship Date,Ship Mode,Segment,City,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-1029,2021-10-31,2021-11-04,First Class,Consumer,Seattle,West,Office Supplies,Paper,654.68,1,0.2,-26.58
ORD-1030,2023-04-13,2023-04-18,Same Day,Consumer,Seattle,West,Office Supplies,Paper,3752.4,3,0.1,785.68
ORD-1031,2022-05-24,2022-05-27,Same Day,Consumer,Denver,West,Office Supplies,Storage,812.81,1,0.0,133.92
ORD-1032,2022-04-12,2022-04-14,Standard Class,Corporate,Seattle,West,Technology,Accessories,137.85,5,0.1,9.59
ORD-1033,2021-02-26,2021-02-27,Standard Class,Consumer,Minneapolis,North,Office Supplies,Envelopes,4387.65,5,0.2,-423.1
ORD-1034,2023-11-14,2023-11-15,Same Day,Consumer,Atlanta,South,Technology,Accessories,1938.27,1,0.4,-567.87
ORD-1035,2022-11-08,2022-11-13,First Class,Home Office,Los Angeles,West,Technology,Copiers,1583.3,5,0.0,421.04
ORD-1036,2021-09-18,2021-09-20,First Class,Corporate,Miami,South,Technology,Copiers,2113.82,3,0.3,-98.94
ORD-1037,2023-05-31,2023-06-07,Second Class,Home Office,Boston,East,Technology,Accessories,2908.32,8,0.2,-30.55
ORD-1038,2022-08-05,2022-08-10,First Class,Consumer,Houston,South,Office Supplies,Binders,3325.99,4,0.4,-829.65
ORD-1039,2022-05-17,2022-05-21,Second Class,Home Office,Los Angeles,West,Furniture,Chairs,3064.14,10,0.0,571.84
ORD-1040,2021-10-30,2021-11-05,Second Class,Home Office,Dallas,South,Technology,Copiers,3444.36,4,0.0,976.57
ORD-1041,2023-07-24,2023-07-26,First Class,Corporate,Houston,South,Furniture,Tables,4011.05,10,0.4,-215.12
ORD-1042,2023-08-31,2023-09-04,Same Day,Home Office,Dallas,South,Office Supplies,Envelopes,1310.77,5,0.1,264.72
ORD-1043,2022-08-09,2022-08-11,Second Class,Consumer,Los Angeles,West,Technology,Copiers,1373.14,2,0.2,161.9
ORD-1044,2021-05-12,2021-05-16,Second Class,Corporate,San Francisco,West,Technology,Computers,2049.84,1,0.4,-430.92
ORD-1045,2023-09-04,2023-09-05,Second Class,Corporate,Atlanta,South,Office Supplies,Paper,4714.85,7,0.2,358.53
ORD-1046,2021-03-01,2021-03-05,Second Class,Home Office,Denver,West,Technology,Copiers,1693.93,8,0.3,-55.47
ORD-1047,2023-05-28,2023-05-30,First Class,Consumer,New York,East,Technology,Phones,4336.92,7,0.1,-151.42
ORD-1048,2022-07-24,2022-07-31,Same Day,Consumer,Atlanta,South,Technology,Accessories,4757.0,2,0.3,-829.23
ORD-1049,2021-03-24,2021-03-31,Second Class,Consumer,New York,East,Technology,Computers,174.53,1,0.1,1.71
ORD-1050,2023-08-11,2023-08-17,Standard Class,Consumer,San Francisco,West,Technology,Phones,1296.09,10,0.2,-129.17
ORD-1051,2023-02-08,2023-02-12,Standard Class,Home Office,Minneapolis,North,Furniture,Chairs,4708.52,4,0.1,-128.08
ORD-1052,2022-12-13,2022-12-18,Standard Class,Corporate,Chicago,North,Office Supplies,Paper,2153.32,6,0.2,-278.45
ORD-1053,2023-07-31,2023-08-06,Same Day,Corporate,Miami,South,Furniture,Furnishings,781.9,5,0.1,133.03
ORD-1054,2022-05-18,2022-05-25,Same Day,Home Office,Miami,South,Office Supplies,Storage,4674.42,4,0.2,535.17
ORD-1055,2022-10-28,2022-10-30,First Class,Home Office,Atlanta,South,Technology,Phones,2448.0,6,0.2,218.73
ORD-1056,2021-06-25,2021-06-27,Same Day,Home Office,Detroit,North,Office Supplies,Paper,3605.97,4,0.3,-300.91
ORD-1057,2022-08-26,2022-08-28,First Class,Corporate,Houston,South,Technology,Phones,2033.92,10,0.1,85.14
ORD-1058,2023-07-19,2023-07-22,First Class,Consumer,Minneapolis,North,Technology,Accessories,1546.98,4,0.1,-21.35
ORD-1059,2022-07-21,2022-07-27,Second Class,Corporate,Denver,West,Furniture,Tables,2956.14,2,0.4,-505.39
ORD-1060,2021-01-29,2021-02-04,First Class,Home Office,Seattle,West,Technology,Computers,2679.99,1,0.2,-365.4
ORD-1061,2021-01-26,2021-01-31,Standard Class,Corporate,Los Angeles,West,Office Supplies,Envelopes,1436.01,3,0.3,-169.25
ORD-1062,2023-10-05,2023-10-06,First Class,Consumer,Atlanta,South,Furniture,Chairs,2893.57,10,0.0,276.39
ORD-1063,2023-12-07,2023-12-11,Same Day,Corporate,San Francisco,West,Furniture,Furnishings,2263.56,10,0.3,-363.97
ORD-1064,2022-03-09,2022-03-12,Standard Class,Consumer,Boston,East,Office Supplies,Paper,3308.93,9,0.1,72.66
ORD-1065,2022-08-20,2022-08-21,Standard Class,Home Office,Newark,East,Technology,Copiers,1172.75,8,0.2,71.42
ORD-1066,2021-08-24,2021-08-29,Standard Class,Consumer,Denver,West,Technology,Computers,1139.55,3,0.1,253.58
ORD-1067,2021-09-12,2021-09-16,Same Day,Corporate,Denver,West,Technology,Accessories,3449.62,9,0.3,113.16
ORD-1068,2022-10-23,2022-10-28,Standard Class,Home Office,Newark,East,Office Supplies,Paper,1266.83,10,0.0,150.34
ORD-1069,2023-08-22,2023-08-27,Same Day,Home Office,Detroit,North,Office Supplies,Paper,3264.52,10,0.2,-311.94
ORD-1070,2023-04-17,2023-04-20,Same Day,Home Office,Miami,South,Furniture,Furnishings,1618.87,6,0.0,497.51
ORD-1071,2023-07-21,2023-07-22,Standard Class,Home Office,Houston,South,Technology,Copiers,1586.3,7,0.2,-182.78
ORD-1072,2023-11-28,2023-12-01,Second Class,Corporate,Dallas,South,Technology,Phones,3120.72,1,0.3,-194.66
ORD-1073,2021-09-06,2021-09-07,First Class,Home Office,Denver,West,Technology,Copiers,4866.27,3,0.4,-536.29
ORD-1074,2022-04-06,2022-04-13,Same Day,Home Office,New York,East,Office Supplies,Envelopes,4566.39,3,0.3,155.8
ORD-1075,2023-09-16,2023-09-20,Second Class,Consumer,Milwaukee,North,Office Supplies,Storage,1233.78,4,0.4,-378.29
ORD-1076,2021-01-06,2021-01-09,Second Class,Corporate,Minneapolis,North,Technology,Accessories,3635.73,8,0.4,-639.97
ORD-1077,2023-07-22,2023-07-25,Same Day,Consumer,Atlanta,South,Technology,Accessories,4350.62,4,0.1,528.77
ORD-1078,2023-03-02,2023-03-08,Second Class,Home Office,Milwaukee,North,Office Supplies,Envelopes,3966.12,1,0.1,391.05
ORD-1079,2023-12-14,2023-12-18,Standard Class,Corporate,Chicago,North,Furniture,Furnishings,96.43,3,0.1,7.04
ORD-1080,2022-11-04,2022-11-11,Same Day,Home Office,Chicago,North,Technology,Copiers,3378.3,6,0.4,-797.27
ORD-1081,2022-08-12,2022-08-14,Same Day,Consumer,Boston,East,Office Supplies,Paper,3738.9,2,0.3,162.65
ORD-1082,2021-04-25,2021-04-28,Same Day,Home Office,Minneapolis,North,Furniture,Chairs,1805.15,9,0.3,-372.45
ORD-1083,2023-02-23,2023-02-28,Second Class,Corporate,Los Angeles,West,Furniture,Tables,3422.01,3,0.3,81.61
ORD-1084,2023-08-11,2023-08-14,First Class,Home Office,Chicago,North,Technology,Accessories,3394.5,6,0.1,-94.51
ORD-1085,2022-09-11,2022-09-13,First Class,Home Office,Atlanta,South,Office Supplies,Storage,4996.88,7,0.3,-1089.34
ORD-1086,2023-03-22,2023-03-25,First Class,Consumer,Chicago,North,Office Supplies,Storage,60.33,8,0.0,19.5
ORD-1087,2021-10-08,2021-10-14,Standard Class,Home Office,Minneapolis,North,Furniture,Tables,503.88,8,0.0,71.89
ORD-1088,2022-08-28,2022-08-31,First Class,Home Office,Chicago,North,Office Supplies,Binders,3742.45,9,0.1,38.32
ORD-1089,2022-08-28,2022-09-03,Second Class,Consumer,Milwaukee,North,Furniture,Bookcases,4354.58,2,0.0,829.54
ORD-1090,2023-03-20,2023-03-21,Same Day,Home Office,Houston,South,Office Supplies,Storage,1337.0,5,0.0,249.26
ORD-1091,2021-02-21,2021-02-26,Second Class,Home Office,Milwaukee,North,Furniture,Tables,4423.49,10,0.4,-1112.94
ORD-1092,2023-04-17,2023-04-18,Standard Class,Consumer,Philadelphia,East,Office Supplies,Envelopes,716.09,8,0.0,101.19
ORD-1093,2023-07-19,2023-07-22,Same Day,Home Office,Denver,West,Office Supplies,Binders,3359.02,3,0.4,-753.3
ORD-1094,2021-03-09,2021-03-15,First Class,Consumer,Philadelphia,East,Technology,Copiers,1865.24,4,0.3,-217.47
ORD-1095,2023-03-27,2023-03-30,Standard Class,Home Office,Chicago,North,Office Supplies,Storage,965.25,8,0.0,323.07
ORD-1096,2022-11-15,2022-11-17,Second Class,Home Office,Los Angeles,West,Office Supplies,Paper,4944.33,9,0.4,-1426.13
ORD-1097,2021-01-06,2021-01-09,First Class,Consumer,San Francisco,West,Furniture,Bookcases,4294.86,9,0.1,1057.64
ORD-1098,2021-01-31,2021-02-03,Second Class,Corporate,Boston,East,Office Supplies,Paper,3954.12,1,0.1,500.81
ORD-1099,2021-05-11,2021-05-15,Same Day,Home Office,New York,East,Furniture,Furnishings,2252.41,2,0.2,8.95
ORD-1100,2023-07-28,2023-08-03,Same Day,Home Office,Seattle,West,Office Supplies,Paper,4820.85,7,0.0,1685.25
ORD-1101,2021-06-15,2021-06-18,First Class,Corporate,New York,East,Technology,Copiers,3049.32,10,0.0,267.91
ORD-1102,2021-08-23,2021-08-30,Same Day,Corporate,Chicago,North,Technology,Copiers,3280.47,4,0.4,-438.76
ORD-1103,2023-03-28,2023-04-01,First Class,Consumer,Denver,West,Technology,Accessories,3653.47,5,0.2,-80.27
ORD-1104,2021-07-10,2021-07-14,Standard Class,Home Office,Houston,South,Furniture,Chairs,500.89,9,0.2,46.85
ORD-1105,2022-12-26,2023-01-02,First Class,Home Office,Milwaukee,North,Office Supplies,Paper,3333.4,1,0.3,34.76
ORD-1106,2021-11-13,2021-11-19,First Class,Consumer,Detroit,North,Technology,Phones,2421.3,9,0.0,375.38
ORD-1107,2021-02-23,2021-02-28,First Class,Corporate,Milwaukee,North,Office Supplies,Binders,4646.84,5,0.2,-656.66
ORD-1108,2023-04-01,2023-04-02,Second Class,Corporate,Detroit,North,Furniture,Tables,726.54,9,0.0,56.33
ORD-1109,2023-01-28,2023-01-31,Second Class,Consumer,Dallas,South,Technology,Accessories,3613.55,1,0.4,-618.4
ORD-1110,2023-06-27,2023-07-03,Second Class,Home Office,Philadelphia,East,Office Supplies,Paper,2131.59,5,0.4,-463.38
ORD-1111,2022-08-04,2022-08-10,Standard Class,Consumer,New York,East,Technology,Copiers,3398.86,5,0.3,-312.42
ORD-1112,2022-02-23,2022-02-26,First Class,Consumer,Houston,South,Office Supplies,Paper,4727.71,5,0.1,847.43
ORD-1113,2021-09-22,2021-09-26,Standard Class,Corporate,Boston,East,Technology,Copiers,2672.26,6,0.1,267.44
ORD-1114,2021-06-09,2021-06-16,First Class,Consumer,Newark,East,Technology,Phones,1579.04,7,0.3,-123.13
ORD-1115,2023-08-01,2023-08-08,Second Class,Corporate,Dallas,South,Furniture,Bookcases,3454.26,2,0.2,-426.81
ORD-1116,2022-09-28,2022-10-04,Standard Class,Home Office,Atlanta,South,Office Supplies,Paper,1710.78,2,0.2,143.25
ORD-1117,2022-04-29,2022-04-30,Standard Class,Consumer,San Francisco,West,Technology,Accessories,749.29,3,0.1,1.54
ORD-1118,2022-10-10,2022-10-12,First Class,Home Office,Miami,South,Technology,Copiers,2210.02,5,0.3,-259.32
ORD-1119,2023-08-04,2023-08-08,Standard Class,Home Office,Philadelphia,East,Technology,Phones,207.28,2,0.2,20.63
ORD-1120,2022-01-21,2022-01-24,Same Day,Consumer,Atlanta,South,Technology,Phones,3032.93,1,0.4,-924.26
ORD-1121,2021-03-22,2021-03-24,Second Class,Corporate,Detroit,North,Office Supplies,Paper,3543.96,10,0.3,-328.81
ORD-1122,2022-11-24,2022-11-30,Same Day,Corporate,Milwaukee,North,Technology,Copiers,2997.47,2,0.2,-390.35
ORD-1123,2021-06-16,2021-06-21,Second Class,Home Office,Minneapolis,North,Office Supplies,Binders,3324.79,7,0.2,-189.28
ORD-1124,2021-09-19,2021-09-25,First Class,Consumer,Philadelphia,East,Technology,Copiers,3520.1,7,0.4,-1133.35
ORD-1125,2022-12-01,2022-12-08,Standard Class,Corporate,Detroit,North,Technology,Computers,2441.63,3,0.1,610.39
ORD-1126,2021-09-26,2021-10-01,Second Class,Home Office,Philadelphia,East,Office Supplies,Paper,1896.06,10,0.1,8.07
ORD-1127,2022-05-02,2022-05-06,First Class,Corporate,Miami,South,Furniture,Furnishings,3060.77,4,0.3,-550.32
ORD-1128,2022-08-01,2022-08-08,Second Class,Home Office,Denver,West,Technology,Copiers,1921.72,3,0.4,-431.24
ORD-1129,2023-01-31,2023-02-05,Standard Class,Consumer,Denver,West,Technology,Phones,4672.78,5,0.4,-442.28
ORD-1130,2021-07-07,2021-07-09,Standard Class,Corporate,Milwaukee,North,Technology,Computers,4087.18,7,0.2,527.82
ORD-1131,2023-02-07,2023-02-09,Second Class,Consumer,Chicago,North,Furniture,Furnishings,160.37,6,0.0,48.39
ORD-1132,2023-08-19,2023-08-23,Second Class,Home Office,Boston,East,Technology,Copiers,3084.43,4,0.0,171.81
ORD-1133,2022-09-09,2022-09-10,Same Day,Consumer,Dallas,South,Furniture,Bookcases,257.79,10,0.3,-15.03
ORD-1134,2021-10-22,2021-10-25,Same Day,Consumer,Boston,East,Technology,Phones,2157.61,10,0.4,-526.79
ORD-1135,2023-12-14,2023-12-19,Same Day,Consumer,New York,East,Office Supplies,Storage,2546.49,7,0.4,-467.93
ORD-1136,2023-01-02,2023-01-09,First Class,Consumer,Houston,South,Technology,Accessories,356.45,2,0.1,60.55
ORD-1137,2023-08-10,2023-08-16,Same Day,Consumer,Boston,East,Technology,Accessories,2403.09,2,0.1,464.88
ORD-1138,2021-03-27,2021-03-30,Same Day,Corporate,Detroit,North,Furniture,Chairs,4668.19,9,0.4,-1076.17
ORD-1139,2023-01-02,2023-01-09,Same Day,Corporate,Philadelphia,East,Office Supplies,Binders,3908.59,6,0.2,-265.92
ORD-1140,2023-10-14,2023-10-20,Same Day,Consumer,Dallas,South,Technology,Accessories,2497.67,2,0.4,-674.33
ORD-1141,2022-10-20,2022-10-21,Same Day,Consumer,Miami,South,Office Supplies,Binders,418.74,10,0.2,-24.31
ORD-1142,2022-12-24,2022-12-29,Standard Class,Home Office,Houston,South,Technology,Copiers,4990.79,1,0.2,208.82
ORD-1143,2021-10-20,2021-10-27,Second Class,Home Office,Houston,South,Technology,Computers,3045.71,2,0.3,-729.63
ORD-1144,2021-11-11,2021-11-17,Second Class,Home Office,Chicago,North,Technology,Copiers,2260.61,2,0.2,-86.8
ORD-1145,2022-05-27,2022-05-28,Standard Class,Corporate,Minneapolis,North,Technology,Accessories,149.05,7,0.1,14.86
ORD-1146,2022-08-08,2022-08-14,Standard Class,Corporate,Detroit,North,Office Supplies,Envelopes,4584.06,3,0.3,-870.73
ORD-1147,2022-10-17,2022-10-23,First Class,Consumer,Los Angeles,West,Office Supplies,Envelopes,1750.18,5,0.0,376.29
ORD-1148,2022-02-16,2022-02-23,First Class,Corporate,Los Angeles,West,Technology,Computers,711.61,9,0.3,-172.29
ORD-1149,2022-09-26,2022-09-30,Standard Class,Consumer,Los Angeles,West,Office Supplies,Paper,4997.98,7,0.3,-461.27
ORD-1150,2023-08-13,2023-08-19,Second Class,Consumer,Milwaukee,North,Office Supplies,Paper,2596.45,9,0.1,554.05
ORD-1151,2023-11-28,2023-11-30,First Class,Home Office,Houston,South,Office Supplies,Paper,1534.54,4,0.1,71.81
ORD-1152,2022-07-17,2022-07-19,Second Class,Home Office,Detroit,North,Furniture,Bookcases,3132.61,9,0.4,-595.06
ORD-1153,2021-02-28,2021-03-01,Same Day,Home Office,Los Angeles,West,Furniture,Bookcases,246.4,4,0.4,-66.68
ORD-1154,2023-09-17,2023-09-19,Standard Class,Consumer,Philadelphia,East,Technology,Accessories,4027.35,2,0.3,-647.48
ORD-1155,2022-02-22,2022-02-25,First Class,Corporate,Atlanta,South,Technology,Copiers,3041.17,6,0.2,329.8
ORD-1156,2022-05-11,2022-05-15,Standard Class,Corporate,Seattle,West,Technology,Phones,630.16,2,0.3,-110.67
ORD-1157,2021-11-24,2021-12-01,Second Class,Corporate,Dallas,South,Office Supplies,Envelopes,1650.63,4,0.4,-220.63
ORD-1158,2021-02-17,2021-02-18,Second Class,Home Office,Atlanta,South,Technology,Accessories,4727.26,4,0.4,-1006.11
ORD-1159,2023-10-11,2023-10-16,Standard Class,Corporate,Minneapolis,North,Furniture,Chairs,4414.05,1,0.3,-725.12
ORD-1160,2023-01-20,2023-01-21,First Class,Consumer,Denver,West,Technology,Accessories,2014.9,6,0.4,-365.61
ORD-1161,2021-09-01,2021-09-03,First Class,Consumer,Miami,South,Office Supplies,Envelopes,4875.91,6,0.3,-673.07
ORD-1162,2021-04-03,2021-04-04,Same Day,Consumer,Los Angeles,West,Office Supplies,Envelopes,702.44,9,0.2,64.06
ORD-1163,2023-03-16,2023-03-21,Same Day,Home Office,San Francisco,West,Technology,Accessories,3701.81,9,0.2,104.09
ORD-1164,2022-11-10,2022-11-16,Same Day,Corporate,Minneapolis,North,Technology,Phones,565.83,1,0.3,-42.37
ORD-1165,2021-12-16,2021-12-21,Second Class,Home Office,Denver,West,Office Supplies,Paper,3152.55,7,0.4,-370.8
ORD-1166,2021-02-08,2021-02-12,Same Day,Home Office,San Francisco,West,Furniture,Chairs,1582.19,4,0.1,116.9
ORD-1167,2023-11-29,2023-12-01,Second Class,Corporate,Dallas,South,Office Supplies,Paper,2813.22,6,0.3,-259.82
ORD-1168,2023-09-19,2023-09-21,First Class,Corporate,Minneapolis,North,Office Supplies,Storage,4787.54,4,0.2,83.43
ORD-1169,2023-09-10,2023-09-13,Same Day,Corporate,Seattle,West,Office Supplies,Envelopes,2811.23,10,0.2,-178.97
ORD-1170,2022-08-13,2022-08-19,Second Class,Consumer,Chicago,North,Furniture,Bookcases,413.57,8,0.3,-22.01
ORD-1171,2021-08-12,2021-08-17,Second Class,Home Office,Detroit,North,Office Supplies,Storage,3709.64,9,0.1,84.35
ORD-1172,2022-11-08,2022-11-14,Second Class,Corporate,Denver,West,Furniture,Chairs,2372.57,9,0.1,-114.94
ORD-1173,2022-10-20,2022-10-23,Standard Class,Consumer,Miami,South,Technology,Computers,3236.57,4,0.0,795.19
ORD-1174,2023-10-12,2023-10-14,First Class,Home Office,Atlanta,South,Furniture,Chairs,4684.31,1,0.2,529.43
ORD-1175,2023-12-10,2023-12-14,First Class,Consumer,Newark,East,Technology,Accessories,4448.51,8,0.1,913.36
ORD-1176,2022-06-11,2022-06-17,Second Class,Consumer,Newark,East,Technology,Computers,947.27,10,0.2,82.63
ORD-1177,2023-04-01,2023-04-07,Standard Class,Corporate,Houston,South,Technology,Accessories,495.02,4,0.1,46.15
ORD-1178,2022-11-07,2022-11-10,Second Class,Consumer,Miami,South,Furniture,Furnishings,2920.65,6,0.4,-1012.21
ORD-1179,2023-04-11,2023-04-17,First Class,Home Office,Boston,East,Technology,Accessories,2522.55,5,0.2,144.01
ORD-1180,2021-11-10,2021-11-14,Same Day,Home Office,Denver,West,Furniture,Tables,3743.72,9,0.4,-890.68
ORD-1181,2023-12-18,2023-12-24,Second Class,Home Office,Denver,West,Furniture,Chairs,1821.69,9,0.4,-576.27
ORD-1182,2021-08-27,2021-09-02,Same Day,Consumer,Denver,West,Furniture,Bookcases,1042.9,9,0.4,-212.08
ORD-1183,2021-04-29,2021-05-04,First Class,Consumer,Atlanta,South,Furniture,Furnishings,2322.64,7,0.2,155.58
ORD-1184,2023-05-18,2023-05-21,Same Day,Consumer,Los Angeles,West,Office Supplies,Paper,3507.92,2,0.4,-181.58
ORD-1185,2023-05-11,2023-05-14,Same Day,Consumer,Detroit,North,Technology,Computers,4964.43,7,0.3,-573.09
ORD-1186,2022-01-01,2022-01-06,Standard Class,Consumer,Los Angeles,West,Office Supplies,Storage,1977.43,4,0.1,332.92
ORD-1187,2022-04-16,2022-04-18,Standard Class,Home Office,Milwaukee,North,Technology,Copiers,2313.91,2,0.1,75.65
ORD-1188,2022-02-27,2022-02-28,Second Class,Home Office,Dallas,South,Office Supplies,Paper,522.47,1,0.0,96.1
ORD-1189,2022-03-21,2022-03-28,Second Class,Home Office,Boston,East,Technology,Copiers,4321.38,5,0.0,397.74
ORD-1190,2022-09-11,2022-09-13,First Class,Consumer,Detroit,North,Office Supplies,Storage,4928.76,5,0.4,-1398.23
ORD-1191,2021-04-07,2021-04-10,Same Day,Corporate,Denver,West,Office Supplies,Envelopes,4709.1,6,0.3,-67.15
ORD-1192,2023-08-28,2023-08-30,Same Day,Consumer,San Francisco,West,Technology,Copiers,4249.72,3,0.2,455.84
ORD-1193,2022-05-13,2022-05-16,Standard Class,Home Office,Atlanta,South,Technology,Computers,1032.62,6,0.0,337.32
ORD-1194,2021-03-22,2021-03-29,Second Class,Corporate,Denver,West,Furniture,Bookcases,382.47,9,0.4,-50.76
ORD-1195,2022-03-10,2022-03-12,Second Class,Home Office,Los Angeles,West,Technology,Accessories,4811.15,8,0.0,1318.56
ORD-1196,2022-08-03,2022-08-07,Same Day,Corporate,Seattle,West,Technology,Computers,2341.93,6,0.2,-134.6
ORD-1197,2022-02-21,2022-02-24,Second Class,Consumer,Philadelphia,East,Office Supplies,Envelopes,1578.35,4,0.0,345.28
ORD-1198,2021-11-09,2021-11-11,Same Day,Home Office,Minneapolis,North,Office Supplies,Envelopes,1662.73,4,0.3,-131.46
ORD-1199,2023-08-02,2023-08-04,Same Day,Consumer,Milwaukee,North,Technology,Copiers,3669.21,9,0.2,-364.06
ORD-1200,2021-04-10,2021-04-17,Standard Class,Home Office,New York,East,Office Supplies,Paper,51.79,4,0.1,10.5
ORD-1201,2023-02-04,2023-02-05,Standard Class,Consumer,Denver,West,Furniture,Tables,3096.82,8,0.4,-235.9
ORD-1202,2022-08-11,2022-08-12,Standard Class,Consumer,Miami,South,Furniture,Chairs,2521.04,3,0.3,-20.55
ORD-1203,2022-12-27,2022-12-30,Same Day,Home Office,Seattle,West,Furniture,Tables,3978.78,7,0.0,644.23
ORD-1204,2021-06-15,2021-06-21,Same Day,Home Office,Seattle,West,Office Supplies,Binders,4958.54,7,0.0,387.01
ORD-1205,2021-06-19,2021-06-23,Standard Class,Consumer,Dallas,South,Furniture,Chairs,4229.74,2,0.2,83.57
ORD-1206,2021-04-06,2021-04-07,Standard Class,Consumer,Seattle,West,Office Supplies,Envelopes,3428.46,10,0.2,410.71
ORD-1207,2023-03-27,2023-03-28,First Class,Corporate,Detroit,North,Furniture,Tables,1510.4,7,0.4,-419.68
ORD-1208,2021-04-20,2021-04-21,Same Day,Corporate,Seattle,West,Office Supplies,Paper,2196.7,10,0.0,334.29
ORD-1209,2023-10-02,2023-10-04,Same Day,Consumer,Newark,East,Office Supplies,Storage,1791.94,10,0.3,-215.83
ORD-1210,2022-07-03,2022-07-05,First Class,Consumer,Chicago,North,Furniture,Chairs,1912.4,6,0.1,328.74
ORD-1211,2023-01-08,2023-01-15,Same Day,Home Office,Newark,East,Furniture,Bookcases,1363.44,7,0.1,-32.46
ORD-1212,2022-12-26,2022-12-31,Standard Class,Corporate,Houston,South,Furniture,Chairs,483.46,7,0.4,-55.44
ORD-1213,2023-12-04,2023-12-06,First Class,Corporate,Dallas,South,Technology,Phones,3432.87,5,0.1,-28.66
ORD-1214,2022-07-20,2022-07-24,Same Day,Home Office,Denver,West,Furniture,Tables,1512.77,4,0.0,239.53
ORD-1215,2022-09-16,2022-09-17,First Class,Corporate,San Francisco,West,Technology,Phones,4745.14,7,0.2,486.3
ORD-1216,2022-10-19,2022-10-24,Same Day,Corporate,Minneapolis,North,Technology,Computers,4737.45,3,0.1,443.91
